benchmark,monitor,repetition,time,status
f11_r_CNT_x_P_x__e234300,monpoly,1,0.07495,ok
f11_r_CNT_x_P_x__e468750,staticmon,0,0.07618,ok
f11_r_CNT_x_P_x__e468750,staticmon,1,0.07168,ok
f11_r_CNT_x_P_x__e468750,monpoly,0,0.1287,ok
f11_r_CNT_x_P_x__e468750,monpoly,1,0.1295,ok
f11_r_CNT_x_P_x__e937500,staticmon,0,0.12716,ok
f11_r_CNT_x_P_x__e937500,staticmon,1,0.12837,ok
f11_r_CNT_x_P_x__e937500,monpoly,0,0.28822,ok
f11_r_CNT_x_P_x__e937500,monpoly,1,0.28572,ok
f11_r_CNT_x_P_x__e1875000,staticmon,0,0.23001,ok
f11_r_CNT_x_P_x__e1875000,staticmon,1,0.23633,ok
f11_r_CNT_x_P_x__e1875000,monpoly,0,0.46164,ok
f11_r_CNT_x_P_x__e1875000,monpoly,1,0.50764,ok
f11_r_CNT_x_P_x__e3750000,staticmon,0,0.45091,ok
f11_r_CNT_x_P_x__e3750000,staticmon,1,0.45464,ok
f11_r_CNT_x_P_x__e3750000,monpoly,0,0.93962,ok
f11_r_CNT_x_P_x__e3750000,monpoly,1,0.99536,ok
f12_r_MAX_x_P_x__e234300,staticmon,0,0.23634,ok
f12_r_MAX_x_P_x__e234300,staticmon,1,0.07823,ok
f12_r_MAX_x_P_x__e234300,monpoly,0,0.07733,ok
f12_r_MAX_x_P_x__e234300,monpoly,1,0.07431,ok
f12_r_MAX_x_P_x__e468750,staticmon,0,0.07606,ok
f12_r_MAX_x_P_x__e468750,staticmon,1,0.07725,ok
f12_r_MAX_x_P_x__e468750,monpoly,0,0.12652,ok
f12_r_MAX_x_P_x__e468750,monpoly,1,0.1287,ok
f12_r_MAX_x_P_x__e937500,staticmon,0,0.12998,ok
f12_r_MAX_x_P_x__e937500,staticmon,1,0.12262,ok
f12_r_MAX_x_P_x__e937500,monpoly,0,0.28951,ok
f12_r_MAX_x_P_x__e937500,monpoly,1,0.24185,ok
f12_r_MAX_x_P_x__e1875000,staticmon,0,0.28766,ok
f12_r_MAX_x_P_x__e1875000,staticmon,1,0.23665,ok
f12_r_MAX_x_P_x__e1875000,monpoly,0,0.50553,ok
f12_r_MAX_x_P_x__e1875000,monpoly,1,0.49934,ok
f12_r_MAX_x_P_x__e3750000,staticmon,0,0.50962,ok
f12_r_MAX_x_P_x__e3750000,staticmon,1,0.45169,ok
f12_r_MAX_x_P_x__e3750000,monpoly,0,0.99806,ok
f12_r_MAX_x_P_x__e3750000,monpoly,1,0.99579,ok
f13_r_MIN_x_P_x__e234300,staticmon,0,0.24098,ok
f13_r_MIN_x_P_x__e234300,staticmon,1,0.07782,ok
f13_r_MIN_x_P_x__e234300,monpoly,0,0.07537,ok
f13_r_MIN_x_P_x__e234300,monpoly,1,0.07767,ok
f13_r_MIN_x_P_x__e468750,staticmon,0,0.07473,ok
f13_r_MIN_x_P_x__e468750,staticmon,1,0.06943,ok
f13_r_MIN_x_P_x__e468750,monpoly,0,0.12747,ok
f13_r_MIN_x_P_x__e468750,monpoly,1,0.12923,ok
f13_r_MIN_x_P_x__e937500,staticmon,0,0.12289,ok
f13_r_MIN_x_P_x__e937500,staticmon,1,0.1322,ok
f13_r_MIN_x_P_x__e937500,monpoly,0,0.29075,ok
f13_r_MIN_x_P_x__e937500,monpoly,1,0.29426,ok
f13_r_MIN_x_P_x__e1875000,staticmon,0,0.23423,ok
f13_r_MIN_x_P_x__e1875000,staticmon,1,0.24005,ok
f13_r_MIN_x_P_x__e1875000,monpoly,0,0.49417,ok
f13_r_MIN_x_P_x__e1875000,monpoly,1,0.50841,ok
f13_r_MIN_x_P_x__e3750000,staticmon,0,0.45803,ok
f13_r_MIN_x_P_x__e3750000,staticmon,1,0.45177,ok
